label	i	c	o	span
gold	TOMOX	FOLFOX4	Hepatic disorders and asthenia	hepatic disorders and asthenia were higher in TOMOX group (p = ns).
i	TOMOX	FOLFOX4	Grades 3 and 4 neutropenia	Grades 3 and 4 neutropenia (p < 0.0001) and leukopenia (p = 0.028) were more common with the FOLFOX4 regimen, while hepatic disorders and asthenia were higher in TOMOX group (p = ns).
gold	TOMOX	FOLFOX4	Hepatic disorders and asthenia	hepatic disorders and asthenia were higher in TOMOX group (p = ns).
i	TOMOX	FOLFOX4	hepatic disorders and asthenia	Grades 3 and 4 neutropenia (p < 0.0001) and leukopenia (p = 0.028) were more common with the FOLFOX4 regimen, while hepatic disorders and asthenia were higher in TOMOX group (p = ns).
gold	TOMOX	FOLFOX4	Hepatic disorders and asthenia	hepatic disorders and asthenia were higher in TOMOX group (p = ns).
c	FOLFOX4	FOLFOX	leukopenia	Grades 3 and 4 neutropenia (p < 0.0001) and leukopenia (p = 0.028) were more common with the FOLFOX4 regimen, while hepatic disorders and asthenia were higher in TOMOX group (p = ns).
gold	~1100 kJ/d of hazelnuts	chocolate	Plasma total cholesterol	Plasma total cholesterol in the hazelnut group was lower compared to the chocolate group (P = 0.006), with a tendency for the hazelnut group to be lower than the control (P  = 0.057).
c	hazelnut	Dairy milk chocolate	Plasma total cholesterol	Plasma total cholesterol in the hazelnut group was lower compared to the chocolate group (P = 0.006), with a tendency for the hazelnut group to be lower than the control (P  = 0.057).
gold	epoetin-α	control	mean hemoglobin level at admission at the discharge	the discharge hemoglobin level was higher in the epoetin-α group (10.6 g/dL versus 9.69 g/dL) (P < 0.001).
c	epoetin - α	Epoetin - α	discharge hemoglobin level	At admission, the mean hemoglobin level was higher in the epoetin-α group (13.8 g/dL versus 12.2 g/dL) (P = 0.001); the discharge hemoglobin level was higher in the epoetin-α group (10.6 g/dL versus 9.69 g/dL) (P < 0.001).
gold	epoetin-α	control	mean hemoglobin level at admission at the discharge	the discharge hemoglobin level was higher in the epoetin-α group (10.6 g/dL versus 9.69 g/dL) (P < 0.001).
c	epoetin - α	Epoetin - α	mean hemoglobin level	At admission, the mean hemoglobin level was higher in the epoetin-α group (13.8 g/dL versus 12.2 g/dL) (P = 0.001); the discharge hemoglobin level was higher in the epoetin-α group (10.6 g/dL versus 9.69 g/dL) (P < 0.001).
gold	epoetin-α	control	mean duration of surgery	There was no difference in mean duration of surgery between cohorts (epoetin-α versus control: 85.4 minutes versus 92.66 minutes) (P = 0.276) (Table 2).
c	epoetin - α	Epoetin - α	mean duration of surgery	There was no difference in mean duration of surgery between cohorts (epoetin-α versus control: 85.4 minutes versus 92.66 minutes) (P = 0.276) (Table 2).
gold	epoetin-α	control	hospital stay	The epoetin-α cohort had a shorter hospital stay (3 versus 3.67, P = 0.042) (Table 2).
c	epoetin - α	Epoetin - α	hospital stay	The epoetin-α cohort had a shorter hospital stay (3 versus 3.67, P = 0.042) (Table 2).
gold	Ketamine	Control	Usage of analgesics	Small dose of ketamine does not seem to be a useful adjunct to anesthetic and does not decrease the consumption of anesthetic during surgery.
c	ketamine	Ketamine	consumption of anesthetic	Small dose of ketamine does not seem to be a useful adjunct to anesthetic and does not decrease the consumption of anesthetic during surgery.
gold	Aripiprazole	Placbeo	Parent-rated Aberrant Behavior Checklis improvement	Aripiprazole produced a significant improvement in the mean parent/caregiver-rated Aberrant Behavior Checklist Japanese Version irritability subscale score relative to placebo from week 3 through week 8
x	Aripiprazole	placebo	mean parent / caregiver - rated Aberrant Behavior Checklist Japanese Version irritability subscale score	Aripiprazole produced a significant improvement in the mean parent/caregiver-rated Aberrant Behavior Checklist Japanese Version irritability subscale score relative to placebo from week 3 through week 8.
gold	Aripiprazole	Placbeo	Clinician-rated Clinical Global Impression-Improvement scores	At week 8, aripiprazole group showed a statistically significant improvement in mean clinician-rated CGI-I scores greater than the placebo group [2.7 (0.1) vs 3.4 (0.1); TD: −0.62 (95% CI: −1.02 to − 0.22); p = 0.003].
x	aripiprazole	placebo	mean clinician - rated CGI - I scores	At week 8, aripiprazole group showed a statistically significant improvement in mean clinician-rated CGI-I scores greater than the placebo group [2.7 (0.1) vs 3.4 (0.1); TD: −0.62 (95% CI: −1.02 to − 0.22); p = 0.003].
gold	Aripiprazole	Placbeo	Social withdrawal 	There was no significant difference between aripiprazole group and the placebo group in the mean ABC-J stereotypy, inappropriate speech and lethargy/social withdrawal subscale scores
x	aripiprazole	placebo	ABC - J response rate , CY - BOCS ( compulsion scale )	There was no significant difference between aripiprazole group and the placebo group in the mean ABC-J stereotypy, inappropriate speech and lethargy/social withdrawal subscale scores, as well as ABC-J response rate, CY-BOCS (compulsion scale) (Table 2).
gold	Aripiprazole	Placbeo	Social withdrawal 	There was no significant difference between aripiprazole group and the placebo group in the mean ABC-J stereotypy, inappropriate speech and lethargy/social withdrawal subscale scores
x	aripiprazole	placebo	mean ABC - J stereotypy , inappropriate speech and lethargy / social withdrawal subscale scores	There was no significant difference between aripiprazole group and the placebo group in the mean ABC-J stereotypy, inappropriate speech and lethargy/social withdrawal subscale scores, as well as ABC-J response rate, CY-BOCS (compulsion scale) (Table 2).
gold	Aripiprazole	Placbeo	Serious adverse effects	All patients randomized to aripiprazole completed the study, and no serious adverse events were reported.
c	aripiprazole	Aripiprazole	serious adverse events	All patients randomized to aripiprazole completed the study, and no serious adverse events were reported.
gold	Mitomycine C	Acetic acid	Involvement with granulation tissue in the mastoid cavity at the third phase of treatment	In the third phase of treatment of topical MMC only 7 patients (28%) had involvement with granulation tissue in the mastoid cavity and this is less than 25% involvement but the percentage of patients in acetic acid group that involved in more than 25% mastoid involvement was 17 patients (68%), which was again statistically signi- ficant (P<0.05).
x	acetic acid	topical MMC	involvement with granulation tissue in the mastoid cavity	In the third phase of treatment of topical MMC only 7 patients (28%) had involvement with granulation tissue in the mastoid cavity and this is less than 25% involvement but the percentage of patients in acetic acid group that involved in more than 25% mastoid involvement was 17 patients (68%), which was again statistically signi- ficant (P<0.05).
gold	Mitomycine C	Acetic acid	Involvement with granulation tissue in the mastoid cavity at the third phase of treatment	In the third phase of treatment of topical MMC only 7 patients (28%) had involvement with granulation tissue in the mastoid cavity and this is less than 25% involvement but the percentage of patients in acetic acid group that involved in more than 25% mastoid involvement was 17 patients (68%), which was again statistically signi- ficant (P<0.05).
x	acetic acid	topical MMC	mastoid involvement	In the third phase of treatment of topical MMC only 7 patients (28%) had involvement with granulation tissue in the mastoid cavity and this is less than 25% involvement but the percentage of patients in acetic acid group that involved in more than 25% mastoid involvement was 17 patients (68%), which was again statistically signi- ficant (P<0.05).
gold	Mitomycine C	Acetic acid	Dry cavity after 3 months of treatment	After three months of follow up, the final result of using topical MMC and acetic acid was evaluated and the incidence of dry cavity with no granulation tissue was 92% in MMC group whereas it was 24% in Acid group, which was statistically significant (P<0.05).
x	MMC	acetic acid	incidence of dry cavity with no granulation tissue	After three months of follow up, the final result of using topical MMC and acetic acid was evaluated and the incidence of dry cavity with no granulation tissue was 92% in MMC group whereas it was 24% in Acid group, which was statistically significant (P<0.05).
gold	Mitomycine C	Acetic acid	Dry cavity after 3 months of treatment	After three months of follow up, the final result of using topical MMC and acetic acid was evaluated and the incidence of dry cavity with no granulation tissue was 92% in MMC group whereas it was 24% in Acid group, which was statistically significant (P<0.05).
x	MMC	Acid	incidence of dry cavity with no granulation tissue	After three months of follow up, the final result of using topical MMC and acetic acid was evaluated and the incidence of dry cavity with no granulation tissue was 92% in MMC group whereas it was 24% in Acid group, which was statistically significant (P<0.05).
gold	Mitomycine C	Acetic acid	Dry cavity after 3 months of treatment	After three months of follow up, the final result of using topical MMC and acetic acid was evaluated and the incidence of dry cavity with no granulation tissue was 92% in MMC group whereas it was 24% in Acid group, which was statistically significant (P<0.05).
x	acetic acid	Acid	incidence of dry cavity with no granulation tissue	After three months of follow up, the final result of using topical MMC and acetic acid was evaluated and the incidence of dry cavity with no granulation tissue was 92% in MMC group whereas it was 24% in Acid group, which was statistically significant (P<0.05).
gold	Mitomycine C	Acetic acid	Patients with 25% involvement with granulation tissue in the mastoid cavity after three months	At the same time the percentage of patients with 25% involvement mastoid cavity with granulation was 8% in the MMC group (two patients) and 19 patients (76%) in Acid group, which was again statistically significant difference.
x	MMC	Acid	percentage of patients with 25 % involvement mastoid cavity with granulation	At the same time the percentage of patients with 25% involvement mastoid cavity with granulation was 8% in the MMC group (two patients) and 19 patients (76%) in Acid group, which was again statistically significant difference.
gold	Mitomycine C	Acetic acid	Dry cavity after 1 month of treatment	But one month later, this percentage (complete dry mastoid) in the MMC group was 72% and for Acid group was 20% that was statistically significant (P<0.05).
c	Acid	topical MMC	percentage ( complete dry mastoid )	But one month later, this percentage (complete dry mastoid) in the MMC group was 72% and for Acid group was 20% that was statistically significant (P<0.05).
gold	Radiofrequency ablation	Hepatic resection	Rate of complications	More patients developed complications with resection compared to RFA (59% compared to 43%), but the difference was not statistically significant.
x	RFA	resection	complications	More patients developed complications with resection compared to RFA (59% compared to 43%), but the difference was not statistically significant.
gold	Radiofrequency ablation	Hepatic resection	Local recurrence rate through the study	Over the course of the study (mean follow-up of 46 months for patients undergoing RFA), 60% of patients who had only open RFA suffered local recurrences compared to 7% of patients who underwent hepatic resection (P < .0005).
x	hepatic resection	RFA	local recurrences	Over the course of the study (mean follow-up of 46 months for patients undergoing RFA), 60% of patients who had only open RFA suffered local recurrences compared to 7% of patients who underwent hepatic resection (P < .0005).
gold	Radiofrequency ablation	Hepatic resection	Duration of surgery	The operative time was significantly longer for the resection group compared to the RFA group (median of 269 minutes (range 118 to 452) versus 204 minutes (range 113 to 316); P < .0005).
c	RFA	hepatic resection , RFA	operative time	The operative time was significantly longer for the resection group compared to the RFA group (median of 269 minutes (range 118 to 452) versus 204 minutes (range 113 to 316); P < .0005).
gold	Radiofrequency ablation	Hepatic resection	Need for ICU 	Rates of ICU admission (6.5% of patients overall), and length of stay (median of 7 days for all patients; range 1 to 48) were not significantly different between patients having hepatic resection and RFA.
c	hepatic resection	hepatic resection , RFA	length of stay	Rates of ICU admission (6.5% of patients overall), and length of stay (median of 7 days for all patients; range 1 to 48) were not significantly different between patients having hepatic resection and RFA.
gold	Radiofrequency ablation	Hepatic resection	Need for ICU 	Rates of ICU admission (6.5% of patients overall), and length of stay (median of 7 days for all patients; range 1 to 48) were not significantly different between patients having hepatic resection and RFA.
c	hepatic resection	hepatic resection , RFA	Rates of ICU admission	Rates of ICU admission (6.5% of patients overall), and length of stay (median of 7 days for all patients; range 1 to 48) were not significantly different between patients having hepatic resection and RFA.
gold	Radiofrequency ablation	Hepatic resection	Disease-free survival rate at 5 years	The 5-year disease-free survival (DFS) for patients who underwent hepatic resection was 17% (95% CI = 7 to 29%), compared to 15% (95% CI = 6 to 28%) for patients who underwent RFA alone (P = .06).
c	RFA	RFA , RFA plus hepatic resection	5 - year disease - free survival ( DFS )	The 5-year disease-free survival (DFS) for patients who underwent hepatic resection was 17% (95% CI = 7 to 29%), compared to 15% (95% CI = 6 to 28%) for patients who underwent RFA alone (P = .06).
gold	Helium preconditioning (3 × 5 min of 70 % helium and 30 % oxygen) was applied before aortic cross clamping; postconditioning (15 min of helium) was applied before release of the aortic cross clamp.	no helium	Postoperative troponin T	Postoperative troponin T was 11 arbitrary units [5, 31; area-under-the-curve (interquartile range)] for controls, and no statistically significant changes were observed after helium preconditioning [He-pre: 11 (6, 18)], helium postconditioning [He-post: 11 (8, 15)], helium pre- and postconditioning [He-PP: 14 (6, 20)] and after sevoflurane preconditioning [APC: 12 (8, 24), p = 0.13].
x	helium preconditioning	helium postconditioning	Postoperative troponin T	Postoperative troponin T was 11 arbitrary units [5, 31; area-under-the-curve (interquartile range)] for controls, and no statistically significant changes were observed after helium preconditioning [He-pre: 11 (6, 18)], helium postconditioning [He-post: 11 (8, 15)], helium pre- and postconditioning [He-PP: 14 (6, 20)] and after sevoflurane preconditioning [APC: 12 (8, 24), p = 0.13].
gold	Helium preconditioning (3 × 5 min of 70 % helium and 30 % oxygen) was applied before aortic cross clamping; postconditioning (15 min of helium) was applied before release of the aortic cross clamp.	no helium	Postoperative troponin T	Postoperative troponin T was 11 arbitrary units [5, 31; area-under-the-curve (interquartile range)] for controls, and no statistically significant changes were observed after helium preconditioning [He-pre: 11 (6, 18)], helium postconditioning [He-post: 11 (8, 15)], helium pre- and postconditioning [He-PP: 14 (6, 20)] and after sevoflurane preconditioning [APC: 12 (8, 24), p = 0.13].
x	helium preconditioning	sevoflurane preconditioning	Postoperative troponin T	Postoperative troponin T was 11 arbitrary units [5, 31; area-under-the-curve (interquartile range)] for controls, and no statistically significant changes were observed after helium preconditioning [He-pre: 11 (6, 18)], helium postconditioning [He-post: 11 (8, 15)], helium pre- and postconditioning [He-PP: 14 (6, 20)] and after sevoflurane preconditioning [APC: 12 (8, 24), p = 0.13].
gold	Helium preconditioning (3 × 5 min of 70 % helium and 30 % oxygen) was applied before aortic cross clamping; postconditioning (15 min of helium) was applied before release of the aortic cross clamp.	no helium	Postoperative troponin T	Postoperative troponin T was 11 arbitrary units [5, 31; area-under-the-curve (interquartile range)] for controls, and no statistically significant changes were observed after helium preconditioning [He-pre: 11 (6, 18)], helium postconditioning [He-post: 11 (8, 15)], helium pre- and postconditioning [He-PP: 14 (6, 20)] and after sevoflurane preconditioning [APC: 12 (8, 24), p = 0.13].
x	helium preconditioning	helium pre - and postconditioning	Postoperative troponin T	Postoperative troponin T was 11 arbitrary units [5, 31; area-under-the-curve (interquartile range)] for controls, and no statistically significant changes were observed after helium preconditioning [He-pre: 11 (6, 18)], helium postconditioning [He-post: 11 (8, 15)], helium pre- and postconditioning [He-PP: 14 (6, 20)] and after sevoflurane preconditioning [APC: 12 (8, 24), p = 0.13].
gold	Helium preconditioning (3 × 5 min of 70 % helium and 30 % oxygen) was applied before aortic cross clamping; postconditioning (15 min of helium) was applied before release of the aortic cross clamp.	no helium	Postoperative troponin T	Postoperative troponin T was 11 arbitrary units [5, 31; area-under-the-curve (interquartile range)] for controls, and no statistically significant changes were observed after helium preconditioning [He-pre: 11 (6, 18)], helium postconditioning [He-post: 11 (8, 15)], helium pre- and postconditioning [He-PP: 14 (6, 20)] and after sevoflurane preconditioning [APC: 12 (8, 24), p = 0.13].
x	helium postconditioning	sevoflurane preconditioning	Postoperative troponin T	Postoperative troponin T was 11 arbitrary units [5, 31; area-under-the-curve (interquartile range)] for controls, and no statistically significant changes were observed after helium preconditioning [He-pre: 11 (6, 18)], helium postconditioning [He-post: 11 (8, 15)], helium pre- and postconditioning [He-PP: 14 (6, 20)] and after sevoflurane preconditioning [APC: 12 (8, 24), p = 0.13].
gold	Helium preconditioning (3 × 5 min of 70 % helium and 30 % oxygen) was applied before aortic cross clamping; postconditioning (15 min of helium) was applied before release of the aortic cross clamp.	no helium	Postoperative troponin T	Postoperative troponin T was 11 arbitrary units [5, 31; area-under-the-curve (interquartile range)] for controls, and no statistically significant changes were observed after helium preconditioning [He-pre: 11 (6, 18)], helium postconditioning [He-post: 11 (8, 15)], helium pre- and postconditioning [He-PP: 14 (6, 20)] and after sevoflurane preconditioning [APC: 12 (8, 24), p = 0.13].
x	helium postconditioning	helium pre - and postconditioning	Postoperative troponin T	Postoperative troponin T was 11 arbitrary units [5, 31; area-under-the-curve (interquartile range)] for controls, and no statistically significant changes were observed after helium preconditioning [He-pre: 11 (6, 18)], helium postconditioning [He-post: 11 (8, 15)], helium pre- and postconditioning [He-PP: 14 (6, 20)] and after sevoflurane preconditioning [APC: 12 (8, 24), p = 0.13].
gold	Helium preconditioning (3 × 5 min of 70 % helium and 30 % oxygen) was applied before aortic cross clamping; postconditioning (15 min of helium) was applied before release of the aortic cross clamp.	no helium	Postoperative troponin T	Postoperative troponin T was 11 arbitrary units [5, 31; area-under-the-curve (interquartile range)] for controls, and no statistically significant changes were observed after helium preconditioning [He-pre: 11 (6, 18)], helium postconditioning [He-post: 11 (8, 15)], helium pre- and postconditioning [He-PP: 14 (6, 20)] and after sevoflurane preconditioning [APC: 12 (8, 24), p = 0.13].
x	sevoflurane preconditioning	helium pre - and postconditioning	Postoperative troponin T	Postoperative troponin T was 11 arbitrary units [5, 31; area-under-the-curve (interquartile range)] for controls, and no statistically significant changes were observed after helium preconditioning [He-pre: 11 (6, 18)], helium postconditioning [He-post: 11 (8, 15)], helium pre- and postconditioning [He-PP: 14 (6, 20)] and after sevoflurane preconditioning [APC: 12 (8, 24), p = 0.13].
gold	telemonitoring group	usual group	ER visits for all causes	Similarly, patients in the telemonitoring intervention group had fewer ER visits for all causes than those in the usual care group (0.36 vs. 0.91 per patient; p = 0.006).
x	usual care	telemonitoring intervention	ER visits	Similarly, patients in the telemonitoring intervention group had fewer ER visits for all causes than those in the usual care group (0.36 vs. 0.91 per patient; p = 0.006).
gold	telemonitoring group	usual group	the time to first re-admission for COPD exacerbation	, time to first re-admission for COPD exacerbation was significantly increased in the telemonitoring group than in the usual care group (p = 0.026).
c	usual care	telemonitoring and usual care	time to first re - admission for COPD exacerbation	During the follow-up period, time to first re-admission for COPD exacerbation was significantly increased in the telemonitoring group than in the usual care group (p = 0.026).
gold	telemonitoring group	usual group	ER visits for all causes	Telemonitoring was also associated with a reduced number of all-cause re-admissions (0.23 vs. 0.68/patient; p = 0.002) and emergency room visits (0.36 vs. 0.91/patient; p = 0.006).
c	Telemonitoring	telemonitoring	emergency room visits	Telemonitoring was also associated with a reduced number of all-cause re-admissions (0.23 vs. 0.68/patient; p = 0.002) and emergency room visits (0.36 vs. 0.91/patient; p = 0.006).
gold	telemonitoring group	usual group	ER visits for all causes	Telemonitoring was also associated with a reduced number of all-cause re-admissions (0.23 vs. 0.68/patient; p = 0.002) and emergency room visits (0.36 vs. 0.91/patient; p = 0.006).
c	Telemonitoring	telemonitoring	number of all - cause re - admissions	Telemonitoring was also associated with a reduced number of all-cause re-admissions (0.23 vs. 0.68/patient; p = 0.002) and emergency room visits (0.36 vs. 0.91/patient; p = 0.006).
gold	telemonitoring group	usual group	episodes of COPD-related re-admissions or ER visits per capita	Moreover, the telemonitoring group patients tended to have fewer episodes of COPD-related re-admissions (0.19 vs. 0.49; p = 0.11) or ER visits (0.23 vs. 0.55; p = 0.16) per capita than did usual care group patients.
c	telemonitoring	telemonitoring	episodes of COPD - related re - admissions	Moreover, the telemonitoring group patients tended to have fewer episodes of COPD-related re-admissions (0.19 vs. 0.49; p = 0.11) or ER visits (0.23 vs. 0.55; p = 0.16) per capita than did usual care group patients.
gold	telemonitoring group	usual group	episodes of COPD-related re-admissions or ER visits per capita	Moreover, the telemonitoring group patients tended to have fewer episodes of COPD-related re-admissions (0.19 vs. 0.49; p = 0.11) or ER visits (0.23 vs. 0.55; p = 0.16) per capita than did usual care group patients.
c	telemonitoring	telemonitoring	ER visits	Moreover, the telemonitoring group patients tended to have fewer episodes of COPD-related re-admissions (0.19 vs. 0.49; p = 0.11) or ER visits (0.23 vs. 0.55; p = 0.16) per capita than did usual care group patients.
gold	Oral vaccine	Placebo	Interferon γ response 	Median response for interferon γ was 232 spots per 106 cells with 1011 VP compared with 57 spots per 106 cells with placebo (p<0·0001).
x	placebo	interferon γ	Median response	Median response for interferon γ was 232 spots per 106 cells with 1011 VP compared with 57 spots per 106 cells with placebo (p<0·0001).
gold	Oral vaccine	Placebo	Diarrhoea	The cumulative frequency of abdominal pain, diarrhoea, and nasal congestion after all three vaccinations was significantly higher in vaccinees than placebo recipients (21 [16·8%] of 125 vs one [2·4%] of 41, p=0·017; 24 [19·2%] of 125 vs two [4·9%] of 41, p=0·027; 41 [32·8%] of 125 vs six [14·6%] of 41, p=0·028; respectively
c	placebo	H5N1 vaccines	cumulative frequency of abdominal pain , diarrhoea , and nasal congestion	The cumulative frequency of abdominal pain, diarrhoea, and nasal congestion after all three vaccinations was significantly higher in vaccinees than placebo recipients (21 [16·8%] of 125 vs one [2·4%] of 41, p=0·017; 24 [19·2%] of 125 vs two [4·9%] of 41, p=0·027; 41 [32·8%] of 125 vs six [14·6%] of 41, p=0·028; respectively).
gold	Oral vaccine	Placebo	Headache 	Headache was the only reactogenicity symptom reported more frequently in vaccinees than placebo recipients after the first vaccination (p=0·046; table 1)
c	placebo	Ad4 and Ad7 vaccines	Headache	Headache was the only reactogenicity symptom reported more frequently in vaccinees than placebo recipients after the first vaccination (p=0·046; table 1).
gold	Oral vaccine	Placebo	Abdominal pain	The cumulative frequency of abdominal pain, diarrhoea, and nasal congestion after all three vaccinations was significantly higher in vaccinees than placebo recipients (21 [16·8%] of 125 vs one [2·4%] of 41, p=0·017; 24 [19·2%] of 125 vs two [4·9%] of 41, p=0·027; 41 [32·8%] of 125 vs six [14·6%] of 41, p=0·028; respectively; appendix).
c	placebo	H5N1 vaccines	cumulative frequency of abdominal pain , diarrhoea , and nasal congestion	The cumulative frequency of abdominal pain, diarrhoea, and nasal congestion after all three vaccinations was significantly higher in vaccinees than placebo recipients (21 [16·8%] of 125 vs one [2·4%] of 41, p=0·017; 24 [19·2%] of 125 vs two [4·9%] of 41, p=0·027; 41 [32·8%] of 125 vs six [14·6%] of 41, p=0·028; respectively; appendix).
gold	Oral vaccine	Placebo	Interferon γ response 	Interferon-γ T-cell response to recombinant H5 haemagglutinin protein or peptide pools ranged from 38% (nine of 24 vaccinees) with 107 VP to 70% (16 of 23 vaccines) with 1011 VP, compared with only 5% (two of 41) of placebo recipients (figure 2).
c	placebo	H5N1 vaccines	Interferon - γ T - cell response to recombinant H5 haemagglutinin protein or peptide pools	Interferon-γ T-cell response to recombinant H5 haemagglutinin protein or peptide pools ranged from 38% (nine of 24 vaccinees) with 107 VP to 70% (16 of 23 vaccines) with 1011 VP, compared with only 5% (two of 41) of placebo recipients (figure 2).
gold	furosemide	0.9% saline	breathlessness, leg discomfort, chest tightness to exercise cessation were not significantly different across treatments.	The relative contributions of breathlessness [0.9% saline, 41.9 ± 3.4%; 40 mg furosemide, 40.2 ± 3.6%; 120 mg furosemide, 39.4 ± 4.0% (p = 0.876)], leg discomfort [0.9% saline, 55.4 ± 4.1%; 40 mg furosemide, 54.4 ± 4.2%; 120 mg furosemide, 51.7 ± 4.6% (p = 0.746)] and chest tightness [0.9% saline, 2.4 ± 1.5%; 40 mg furosemide, 0.8 ± 0.8%; 120 mg furosemide, 6.0 ± 3.3% (p = 0.170)] to exercise cessation were not significantly different across treatments.
x	furosemide	saline	leg discomfort	The relative contributions of breathlessness [0.9% saline, 41.9 ± 3.4%; 40 mg furosemide, 40.2 ± 3.6%; 120 mg furosemide, 39.4 ± 4.0% (p = 0.876)], leg discomfort [0.9% saline, 55.4 ± 4.1%; 40 mg furosemide, 54.4 ± 4.2%; 120 mg furosemide, 51.7 ± 4.6% (p = 0.746)] and chest tightness [0.9% saline, 2.4 ± 1.5%; 40 mg furosemide, 0.8 ± 0.8%; 120 mg furosemide, 6.0 ± 3.3% (p = 0.170)] to exercise cessation were not significantly different across treatments.
gold	furosemide	0.9% saline	breathlessness, leg discomfort, chest tightness to exercise cessation were not significantly different across treatments.	The relative contributions of breathlessness [0.9% saline, 41.9 ± 3.4%; 40 mg furosemide, 40.2 ± 3.6%; 120 mg furosemide, 39.4 ± 4.0% (p = 0.876)], leg discomfort [0.9% saline, 55.4 ± 4.1%; 40 mg furosemide, 54.4 ± 4.2%; 120 mg furosemide, 51.7 ± 4.6% (p = 0.746)] and chest tightness [0.9% saline, 2.4 ± 1.5%; 40 mg furosemide, 0.8 ± 0.8%; 120 mg furosemide, 6.0 ± 3.3% (p = 0.170)] to exercise cessation were not significantly different across treatments.
